2,2.080000,1.280000,0.989630,0.189630
4,1.037405,0.237405,0.837407,0.037407
8,0.851030,0.051030,0.804844,0.004844
16,0.811596,0.011596,0.800433,0.000433
32,0.802744,0.002744,0.800031,0.000031
64,0.800666,0.000666,0.800002,0.000002
128,0.800164,0.000164,0.800000,0.000000
256,0.800041,0.000041,0.800000,0.000000
512,0.800010,0.000010,0.800000,0.000000
1024,0.800003,0.000003,0.800000,0.000000
2048,0.800001,0.000001,0.800000,0.000000
4096,0.800000,0.000000,0.800000,0.000000
8192,0.800000,0.000000,0.800000,0.000000
16384,0.800000,0.000000,0.800000,0.000000
32768,0.800000,0.000000,0.800000,0.000000
65536,0.800000,0.000000,0.800000,0.000000
